id,group,category,name,spec,regular_price,competitor,competitor_price,shelf_life_days
1,饮料,碳酸饮料,可口可乐,330ml×12罐,35.90,百事可乐 330ml×12罐,33.90,270
2,饮料,瓶装水,农夫山泉天然水,550ml×12瓶,18.90,怡宝纯净水 555ml×12瓶,17.90,730
3,饮料,果汁,农夫果园混合果蔬汁,1.25L,12.90,汇源100%橙汁 1L,13.50,270
4,饮料,茶饮料,东方树叶乌龙茶,500ml×5瓶,17.50,三得利乌龙茶 500ml×5瓶,19.90,270
5,饮料,即饮咖啡,雀巢丝滑拿铁,268ml×6罐,29.90,星巴克星怡杯 270ml×6瓶,45.00,270
6,饮料,乳饮料,伊利安慕希酸奶,205g×12盒,59.90,蒙牛纯甄 200g×12盒,55.90,180
7,饮料,啤酒,青岛啤酒经典,500ml×12听,58.00,雪花勇闯天涯 500ml×12听,45.00,365
8,饮料,豆奶植物蛋白,维他奶原味豆奶,250ml×24盒,49.90,达利豆本豆 250ml×12盒,26.90,270
9,饮料,运动饮料,宝矿力水特,500ml×6瓶,25.90,佳得乐 600ml×6瓶,27.90,365
10,饮料,功能饮料,红牛维生素功能饮料,250ml×6罐,36.00,东鹏特饮 250ml×6罐,21.00,540
11,生鲜冷藏,鲜牛奶,光明优倍鲜牛奶,950ml,19.90,每日鲜语鲜牛奶 950ml,22.90,15
12,生鲜冷藏,鸡蛋,溢流香鲜鸡蛋,30枚,25.90,正大鲜鸡蛋 30枚,29.90,30
13,生鲜冷藏,猪肉,土猪前腿肉,500g,29.90,普通冷鲜前腿肉 500g,24.90,3
14,生鲜冷藏,鸡胸肉,凤祥冷冻鸡胸肉,1kg,29.90,正大冷冻鸡胸肉 1kg,32.90,365
15,生鲜冷藏,速冻水饺,湾仔码头三鲜水饺,720g,32.90,思念三鲜水饺 720g,22.90,365
16,生鲜冷藏,速冻汤圆,思念黑芝麻汤圆,450g,13.90,三全黑芝麻汤圆 450g,12.90,365
17,生鲜冷藏,豆制品,祖名内酯豆腐,400g,4.50,清美内酯豆腐 400g,4.20,7
18,生鲜冷藏,黄油奶酪,安佳淡味黄油,227g,26.90,总统淡味黄油 200g,29.90,540
19,生鲜冷藏,冷冻虾仁,国联冷冻虾仁,250g,39.90,大洋世家冷冻虾仁 250g,42.90,365
20,生鲜冷藏,冰淇淋,和路雪梦龙香草,4支装,39.90,八喜香草冰淇淋 550g,29.90,730
21,零食烘焙,薯片,乐事原味薯片,135g,9.90,上好佳原味薯片 130g,7.50,270
22,零食烘焙,饼干,奥利奥夹心饼干,388g,15.90,好丽友巧克力派 12枚,13.90,360
23,零食烘焙,坚果,三只松鼠每日坚果,750g/30袋,89.90,良品铺子每日坚果 750g,85.00,180
24,零食烘焙,面包,桃李醇熟切片面包,400g,7.90,曼可顿切片面包 400g,8.90,7
25,零食烘焙,方便面,康师傅红烧牛肉面,5连包,14.90,统一老坛酸菜面 5连包,13.90,180
26,零食烘焙,糖果,德芙丝滑牛奶巧克力,252g,39.90,费列罗榛果威化 16粒,49.90,365
27,零食烘焙,速溶咖啡,雀巢金牌速溶咖啡,100g,59.90,麦斯威尔速溶咖啡 100g,45.00,540
28,零食烘焙,茶叶,立顿黄牌红茶,100包,29.90,川宁英式早餐茶 50包,49.90,730
29,零食烘焙,果冻布丁,喜之郎果冻,360g,12.90,蜡笔小新果冻 360g,11.50,360
30,零食烘焙,肉类零食,双汇王中王火腿肠,240g×2,19.90,金锣火腿肠 240g×2,16.90,180
31,家居个护,洗衣液,蓝月亮深层洁净洗衣液,3kg,49.90,汰渍全效洗衣液 3kg,39.90,1095
32,家居个护,洗洁精,立白洗洁精,1.5kg,17.90,雕牌洗洁精 1.5kg,13.90,1095
33,家居个护,卫生纸,维达超韧抽纸,3层×24包,49.90,清风原木抽纸 3层×24包,39.90,1825
34,家居个护,厨房用纸,心相印厨房纸巾,4卷,19.90,维达厨房纸巾 4卷,22.90,1825
35,家居个护,洗发水,海飞丝去屑洗发露,750ml,69.90,清扬去屑洗发露 720ml,59.90,1095
36,家居个护,牙膏,云南白药牙膏,150g,29.90,高露洁全效牙膏 140g,19.90,1095
37,家居个护,沐浴露,六神冰爽沐浴露,1L,39.90,舒肤佳纯白沐浴露 1L,45.90,1095
38,家居个护,纸尿裤,帮宝适超薄干爽 L码,58片,109.00,好奇金装纸尿裤 L码 54片,119.00,1095
39,家居个护,宠物食品,皇家成猫粮,2kg,129.00,冠能成猫粮 2.5kg,139.00,540
40,家居个护,常备药品,999感冒灵颗粒,9袋,15.90,快克感冒胶囊 12粒,18.90,730
