metric,baseline_final,event_final,delta_final,baseline_mean,event_mean,delta_mean
time_pressure,0.2171733596609897,0.1860649927541685,-0.0311083669068212,0.33110605600433907,0.3443559159831704,0.013249859978831324
social_need,0.5798597534569718,0.6109681203637928,0.03110836690682095,0.530948722270221,0.5176988622913895,-0.013249859978831546
stress,0.1051175449006428,0.0965665873472749,-0.008550957553367905,0.2077555001094226,0.205413980238691,-0.0023415198707315843
emotion,0.8985506655485752,0.8930055107973041,-0.005545154751271153,0.8055458538274114,0.8105643565223309,0.005018502694919547
mobility_intent,0.1464769393701642,0.1432743083893715,-0.003202630980792709,0.17621972794986543,0.17743909397718327,0.001219366027317842
econ_security,0.6833399416299657,0.6863688059742514,0.003028864344285731,0.6390250270372696,0.638324211977459,-0.0007008150598105667
platform_dependence,0.4148157238593456,0.41392269897678,-0.0008930248825655962,0.33871463186221745,0.33867176880268235,-4.2863059535103165e-05
policy_sensitivity,0.4534458615845483,0.4529629534636176,-0.000482908120930714,0.5078362023819304,0.5071997677116015,-0.0006364346703289225
city_identity,0.7821257882630008,0.7817529670327683,-0.0003728212302325229,0.7550641150496719,0.7556760777655571,0.0006119627158852614
risk_preference,0.5930412484792854,0.592707466678066,-0.0003337818012194571,0.44920154173145865,0.4510180842760143,0.001816542544555655
voice_propensity,0.6128199922737383,0.6125392319493775,-0.0002807603243607515,0.5159417561140112,0.517112283317606,0.0011705272035947845
cross_viewpoint_exposure,0.0,0.0,0.0,0.0,0.0,0.0
energy,0.8011325763743096,0.8011325763743096,0.0,0.7133376476103124,0.7133376476103124,0.0
fatigue_debt,0.0158494997237358,0.0158494997237358,0.0,0.1447737542938805,0.1447737542938805,0.0
hunger,0.1534311850715607,0.1534311850715607,0.0,0.23090818203792068,0.23090818203792068,0.0
intervention_reward,0.3199999999999999,0.3199999999999999,0.0,0.3537037037037036,0.36333333333333323,0.009629629629629655
misinformation_risk,0.0,0.0,0.0,0.0,0.0,0.0
self_control,0.7235312284580582,0.7235312284580582,0.0,0.6047401636721886,0.6047401636721886,0.0
stance_score,0.0,0.0,0.0,0.0,0.0,0.0
toxicity_score,0.0,0.0,0.0,0.0,0.0,0.0
