metric,baseline_final,event_final,delta_final,baseline_mean,event_mean,delta_mean
social_need,0.6109681203637928,0.6209172633079766,0.009949142944183809,0.5176988622913895,0.547535338444793,0.029836476153403457
time_pressure,0.1860649927541685,0.1761158498099849,-0.009949142944183587,0.3443559159831704,0.31451943982976716,-0.029836476153403235
mobility_intent,0.1432743083893715,0.1401290224070973,-0.003145285982274204,0.17743909397718327,0.17486421037919517,-0.0025748835979881035
stress,0.0965665873472749,0.0945692589434963,-0.0019973284037786004,0.205413980238691,0.20362727915835455,-0.0017867010803364614
econ_security,0.6863688059742514,0.6880904503605706,0.0017216443863191655,0.638324211977459,0.6401074336732258,0.0017832216957667235
city_identity,0.7817529670327683,0.7834572955704028,0.0017043285376344697,0.7556760777655571,0.7551728936439704,-0.000503184121586675
platform_dependence,0.41392269897678,0.4131576921667172,-0.0007650068100628071,0.33867176880268235,0.33836859808305214,-0.00030317071963020803
policy_sensitivity,0.4529629534636176,0.4526649671054322,-0.0002979863581853981,0.5071997677116015,0.5076931728376161,0.00049340512601459
emotion,0.8930055107973041,0.8932596808252526,0.0002541700279485859,0.8105643565223309,0.8000011526424073,-0.0105632038799236
risk_preference,0.592707466678066,0.5928700371740426,0.00016257049597667717,0.4510180842760143,0.449052015727658,-0.0019660685483562923
voice_propensity,0.6125392319493775,0.6126864347112094,0.0001472027618318883,0.517112283317606,0.5158614540659435,-0.001250829251662422
cross_viewpoint_exposure,0.0,0.0,0.0,0.0,0.0,0.0
energy,0.8011325763743096,0.8011325763743096,0.0,0.7133376476103124,0.7133376476103124,0.0
fatigue_debt,0.0158494997237358,0.0158494997237358,0.0,0.1447737542938805,0.1447737542938805,0.0
hunger,0.1534311850715607,0.1534311850715607,0.0,0.23090818203792068,0.23090818203792068,0.0
intervention_reward,0.3199999999999999,0.3199999999999999,0.0,0.35851851851851846,0.35851851851851846,0.0
misinformation_risk,0.0,0.0,0.0,0.0,0.0,0.0
self_control,0.7235312284580582,0.7235312284580582,0.0,0.6047401636721886,0.6047401636721886,0.0
stance_score,0.0,0.0,0.0,0.0,0.0,0.0
toxicity_score,0.0,0.0,0.0,0.0,0.0,0.0
