day,time,agent_id,feed_items,relational_items,personalized_items,headline_items,stance_score,toxicity_score,misinformation_risk,cross_viewpoint_exposure,intervention_reward
1,08:02,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,08:22,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,09:13,34,5,0,2,3,0.0,0.0,0.0,0.0,0.31999999999999995
1,10:41,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,12:48,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,15:12,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,17:45,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,20:48,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,22:14,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,07:35,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,07:57,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
2,09:09,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,11:38,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,12:27,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,16:04,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,17:33,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
2,19:16,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
2,23:29,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,06:30,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,07:56,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,10:46,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,11:23,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
3,12:49,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,16:55,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
3,18:38,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,20:14,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
3,22:59,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
