metric,baseline_final,event_final,delta_final,baseline_mean,event_mean,delta_mean
stress,0.0945692589434963,0.095333303374427,0.0007640444309306993,0.20362727915835455,0.2042370327006717,0.0006097535423171541
emotion,0.8932596808252526,0.8925807226873,-0.0006789581379526011,0.8000011526424073,0.7992895017369777,-0.0007116509054296838
risk_preference,0.5928700371740426,0.5923674194064431,-0.0005026177675995225,0.449052015727658,0.4488864356186183,-0.0001655801090397202
mobility_intent,0.1401290224070973,0.1406311630894277,0.0005021406823303987,0.17486421037919517,0.17501896414294454,0.00015475376374937677
city_identity,0.7834572955704028,0.7829562887477911,-0.0005010068226116715,0.7551728936439704,0.7550099576181629,-0.0001629360258075252
econ_security,0.6880904503605706,0.6877574052188059,-0.00033304514176468736,0.6401074336732258,0.6400053990018916,-0.00010203467133418354
voice_propensity,0.6126864347112094,0.6123609482505233,-0.00032548646068608633,0.5158614540659435,0.5157595613995449,-0.00010189266639859529
policy_sensitivity,0.4526649671054322,0.4529162783751032,0.00025131126967098405,0.5076931728376161,0.5077787830206825,8.561018306640911e-05
platform_dependence,0.4131576921667172,0.4133789418645149,0.00022124969779768744,0.33836859808305214,0.3384298922415,6.129415844785546e-05
cross_viewpoint_exposure,0.0,0.0,0.0,0.0,0.0,0.0
energy,0.8011325763743096,0.8011325763743096,0.0,0.7133376476103124,0.7133376476103124,0.0
fatigue_debt,0.0158494997237358,0.0158494997237358,0.0,0.1447737542938805,0.1447737542938805,0.0
hunger,0.1534311850715607,0.1534311850715607,0.0,0.23090818203792068,0.23090818203792068,0.0
intervention_reward,0.3199999999999999,0.3199999999999999,0.0,0.35851851851851846,0.35851851851851846,0.0
misinformation_risk,0.0,0.0,0.0,0.0,0.0,0.0
self_control,0.7235312284580582,0.7235312284580582,0.0,0.6047401636721886,0.6047401636721886,0.0
social_need,0.6209172633079766,0.6209172633079766,0.0,0.547535338444793,0.547535338444793,0.0
stance_score,0.0,0.0,0.0,0.0,0.0,0.0
time_pressure,0.1761158498099849,0.1761158498099849,0.0,0.31451943982976716,0.31451943982976716,0.0
toxicity_score,0.0,0.0,0.0,0.0,0.0,0.0
