metric,baseline_final,event_final,delta_final,baseline_mean,event_mean,delta_mean
social_need,0.6109681203637928,0.6209172633079766,0.009949142944183809,0.5176988622913895,0.547535338444793,0.029836476153403457
time_pressure,0.1860649927541685,0.1761158498099849,-0.009949142944183587,0.3443559159831704,0.31451943982976716,-0.029836476153403235
mobility_intent,0.14371019645122,0.1401290224070973,-0.003581174044122698,0.17770582682650457,0.17486421037919517,-0.002841616447309403
stress,0.0970088316520766,0.0945692589434963,-0.0024395727085803065,0.2061936102146374,0.20362727915835455,-0.0025663310562828445
city_identity,0.7813304234180893,0.7834572955704028,0.0021268721523134415,0.755397741792692,0.7551728936439704,-0.0002248481487215903
econ_security,0.6860834287505728,0.6880904503605706,0.0020070216099977722,0.6381509167130732,0.6401074336732258,0.0019565169601525323
platform_dependence,0.4141349569691914,0.4131576921667172,-0.000977264802474176,0.3387834506844684,0.33836859808305214,-0.00041485260141627123
risk_preference,0.592300590740417,0.5928700371740426,0.0005694464336256644,0.45074145100168483,0.449052015727658,-0.0016894352740268181
emotion,0.8927014344933785,0.8932596808252526,0.0005582463318741793,0.8096347076602162,0.8000011526424073,-0.009633555017808826
policy_sensitivity,0.4531512997463152,0.4526649671054322,-0.00048633264088299155,0.5073377010829361,0.5076931728376161,0.00035547175467998127
voice_propensity,0.6122555425093557,0.6126864347112094,0.00043089220185377197,0.5169360410144831,0.5158614540659435,-0.0010745869485395687
cross_viewpoint_exposure,0.0,0.0,0.0,0.0,0.0,0.0
energy,0.8011325763743096,0.8011325763743096,0.0,0.7133376476103124,0.7133376476103124,0.0
fatigue_debt,0.0158494997237358,0.0158494997237358,0.0,0.1447737542938805,0.1447737542938805,0.0
hunger,0.1534311850715607,0.1534311850715607,0.0,0.23090818203792068,0.23090818203792068,0.0
intervention_reward,0.3199999999999999,0.3199999999999999,0.0,0.35851851851851846,0.35851851851851846,0.0
misinformation_risk,0.0,0.0,0.0,0.0,0.0,0.0
self_control,0.7235312284580582,0.7235312284580582,0.0,0.6047401636721886,0.6047401636721886,0.0
stance_score,0.0,0.0,0.0,0.0,0.0,0.0
toxicity_score,0.0,0.0,0.0,0.0,0.0,0.0
