day,time,agent_id,feed_items,relational_items,personalized_items,headline_items,stance_score,toxicity_score,misinformation_risk,cross_viewpoint_exposure,intervention_reward
1,08:02,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,08:22,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,09:13,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,10:41,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,12:48,34,2,0,1,1,0.0,0.0,0.0,0.0,0.44999999999999996
1,15:12,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,17:45,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,20:48,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
1,22:14,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
2,07:35,34,2,0,1,1,0.0,0.0,0.0,0.0,0.31999999999999995
