metric,baseline_final,event_final,delta_final,baseline_mean,event_mean,delta_mean
time_pressure,0.2003700498637449,0.1860649927541685,-0.014305057109576413,0.32122598425131377,0.3443559159831704,0.023129931731856623
social_need,0.5966630632542165,0.6109681203637928,0.014305057109576302,0.5408287940232462,0.5176988622913895,-0.023129931731856734
emotion,0.9054199476822128,0.8923465084125358,-0.013073439269676967,0.8046983915677762,0.8098736222670279,0.005175230699251632
city_identity,0.7851319452664435,0.7812660906659383,-0.0038658546005051475,0.7554946561824403,0.7555179086741044,2.325249166412746e-05
risk_preference,0.5951634363949421,0.5922184317140314,-0.0029450046809106345,0.4494549304258149,0.45085732677844376,0.001402396352628843
stress,0.0944888512987994,0.0973498252390028,0.002860973940203404,0.2035859377633424,0.2060091910866772,0.0024232533233347897
mobility_intent,0.141108495260117,0.1437632174575464,0.0026547221974293767,0.17500523453223493,0.17758935582213245,0.0025841212898975174
voice_propensity,0.6140907611895944,0.6122225980975322,-0.0018681630920621695,0.5160989701751159,0.5170133590083096,0.0009143888331937244
policy_sensitivity,0.4519300826425412,0.4532078302617858,0.0012777476192445958,0.5075614829459054,0.5072828969227184,-0.00027858602318697745
econ_security,0.6870802157909146,0.6860440224364405,-0.0010361933544741353,0.6399404111544732,0.6382251197196793,-0.0017152914347938752
platform_dependence,0.4131468432274789,0.4141382192644282,0.0009913760369492652,0.3383666309734266,0.3387312900680533,0.0003646590946266848
cross_viewpoint_exposure,0.0,0.0,0.0,0.0,0.0,0.0
energy,0.8011325763743096,0.8011325763743096,0.0,0.7133376476103124,0.7133376476103124,0.0
fatigue_debt,0.0158494997237358,0.0158494997237358,0.0,0.1447737542938805,0.1447737542938805,0.0
hunger,0.1534311850715607,0.1534311850715607,0.0,0.23090818203792068,0.23090818203792068,0.0
intervention_reward,0.3199999999999999,0.3199999999999999,0.0,0.36333333333333323,0.36333333333333323,0.0
misinformation_risk,0.0,0.0,0.0,0.0,0.0,0.0
self_control,0.7235312284580582,0.7235312284580582,0.0,0.6047401636721886,0.6047401636721886,0.0
stance_score,0.0,0.0,0.0,-0.004938271604938271,0.0,0.004938271604938271
toxicity_score,0.0,0.0,0.0,0.0,0.0,0.0
